ID,pais,estado,municipio,longitud,latitud,altitudmapa,zonamapa
101278,MEXICO,BAJA CALIFORNIA SUR,LORETO,-111.49,25.96,526,CONTINENTAL
33661,MEXICO,NUEVO LEON,SANTIAGO,-100.16,25.37,715,CONTINENTAL
105260,MEXICO,TAMAULIPAS,SAN NICOLAS,-98.82,24.63,745,CONTINENTAL
17083,MEXICO,DURANGO,CONETO DE COMONFORT,-104.75,24.98,1930,CONTINENTAL
75072,MEXICO,TAMAULIPAS,MIQUIHUANA,-99.83,23.54,1737,CONTINENTAL
110682,MEXICO,PUEBLA,ZAPOTITLAN,-97.45,18.33,1689,CONTINENTAL
31917,MEXICO,TAMAULIPAS,TULA,-99.69,23.28,2078,CONTINENTAL
13258,MEXICO,SONORA,FRONTERAS,-109.66,30.79,1248,CONTINENTAL
17746,MEXICO,BAJA CALIFORNIA SUR,LORETO,-111.35,25.8,348,CONTINENTAL
34647,MEXICO,AGUASCALIENTES,TEPEZALA,-102.12,22.21,2437,CONTINENTAL
95121,MEXICO,SONORA,GUAYMAS,-111.07,28.01,173,CONTINENTAL
121771,MEXICO,SONORA,GUAYMAS,-111.06,27.98,40,CONTINENTAL
37881,MEXICO,NUEVO LEON,GARCIA,-100.76,25.65,1274,CONTINENTAL
135248,MEXICO,SAN LUIS POTOSI,CATORCE,-100.88,23.6,2902,CONTINENTAL
131800,MEXICO,PUEBLA,TEHUACAN,-97.6,18.42,2291,CONTINENTAL
93225,MEXICO,NUEVO LEON,SANTIAGO,-100.25,25.39,1358,CONTINENTAL
86053,MEXICO,BAJA CALIFORNIA SUR,LORETO,-111.61,25.71,433,CONTINENTAL
94527,MEXICO,BAJA CALIFORNIA SUR,MULEGE,-112.84,27.31,238,CONTINENTAL
106766,MEXICO,SAN LUIS POTOSI,SALINAS,-101.91,22.66,2118,CONTINENTAL
131170,MEXICO,BAJA CALIFORNIA,ENSENADA,-116.47,31.36,54,CONTINENTAL
113343,MEXICO,0,0,-112.09,27.26,32,ISLA
86454,MEXICO,0,0,-109.87,24.25,517,ISLA
112766,MEXICO,BAJA CALIFORNIA SUR,LORETO,-111.58,25.68,238,CONTINENTAL
1031,MEXICO,BAJA CALIFORNIA,ENSENADA,-116.21,31.76,791,CONTINENTAL
88099,MEXICO,SAN LUIS POTOSI,GUADALCAZAR,-100.17,23.03,1419,CONTINENTAL
33768,MEXICO,CHIHUAHUA,ALDAMA,-105.32,29.15,1293,CONTINENTAL
20201,MEXICO,BAJA CALIFORNIA,ENSENADA,-113.62,28.08,213,CONTINENTAL
111076,MEXICO,BAJA CALIFORNIA SUR,LORETO,-111.48,25.93,388,CONTINENTAL
33140,MEXICO,VERACRUZ DE IGNACIO DE LA LLAVE,PEROTE,-97.27,19.47,2599,CONTINENTAL
76496,MEXICO,BAJA CALIFORNIA SUR,MULEGE,-113.58,26.76,46,CONTINENTAL
28814,MEXICO,0,0,-110.63,24.92,5,ISLA
42108,MEXICO,COAHUILA DE ZARAGOZA,PARRAS,-101.76,25.26,2144,CONTINENTAL
120271,MEXICO,0,0,-115.59,28.31,23,ISLA
74425,MEXICO,TAMAULIPAS,SAN CARLOS,-98.98,24.29,465,CONTINENTAL
4985,MEXICO,ZACATECAS,MELCHOR OCAMPO,-101.61,24.82,1949,CONTINENTAL
135497,MEXICO,TAMAULIPAS,VILLAGRAN,-99.52,24.5,439,CONTINENTAL
75416,MEXICO,SAN LUIS POTOSI,SAN LUIS POTOSI,-101.05,22.49,1740,CONTINENTAL
127129,MEXICO,BAJA CALIFORNIA,ENSENADA,-113.43,28.4,1252,CONTINENTAL
136113,MEXICO,TAMAULIPAS,SAN NICOLAS,-98.78,24.54,513,CONTINENTAL
31322,MEXICO,COAHUILA DE ZARAGOZA,OCAMPO,-103.32,27.59,1302,CONTINENTAL
37855,MEXICO,COAHUILA DE ZARAGOZA,RAMOS ARIZPE,-101.5,26.15,1464,CONTINENTAL
128967,MEXICO,QUERETARO,SAN JOAQUIN,-99.63,20.98,1222,CONTINENTAL
111064,MEXICO,BAJA CALIFORNIA,ENSENADA,-113.12,28.03,380,CONTINENTAL
10516,MEXICO,OAXACA,SAN MIGUEL TULANCINGO,-97.48,17.73,2335,CONTINENTAL
97976,MEXICO,BAJA CALIFORNIA SUR,LA PAZ,-109.96,23.81,241,CONTINENTAL
24690,MEXICO,DURANGO,TLAHUALILO,-103.7,26.67,1164,CONTINENTAL
28761,MEXICO,BAJA CALIFORNIA SUR,LA PAZ,-110.68,24.75,,CONTINENTAL
42327,MEXICO,COAHUILA DE ZARAGOZA,PARRAS,-101.76,25.26,2144,CONTINENTAL
4521,MEXICO,COAHUILA DE ZARAGOZA,CASTAÑOS,-101.37,26.34,1180,CONTINENTAL
59689,MEXICO,BAJA CALIFORNIA SUR,LORETO,-111.63,26.27,552,CONTINENTAL
91220,MEXICO,PUEBLA,TEHUACAN,-97.43,18.41,1777,CONTINENTAL
68401,MEXICO,SONORA,AGUA PRIETA,-109.6,31.24,1236,CONTINENTAL
13599,MEXICO,CHIHUAHUA,ALDAMA,-105.23,28.9,1208,CONTINENTAL
101956,MEXICO,QUERETARO,SAN JOAQUIN,-99.51,21.02,966,CONTINENTAL
44694,MEXICO,HIDALGO,AJACUBA,-99.06,20.13,2137,CONTINENTAL
95302,MEXICO,QUERETARO,QUERETARO,-100.43,20.71,1968,CONTINENTAL
51492,MEXICO,BAJA CALIFORNIA SUR,LORETO,-111.33,25.69,440,CONTINENTAL
35777,MEXICO,COAHUILA DE ZARAGOZA,MORELOS,-101.04,28.26,495,CONTINENTAL
45529,MEXICO,NUEVO LEON,SANTA CATARINA,-100.54,25.69,856,CONTINENTAL
43512,MEXICO,PUEBLA,GUADALUPE VICTORIA,-97.45,19.34,2417,CONTINENTAL
91081,MEXICO,0,0,-112.27,28.93,129,ISLA
63847,MEXICO,COAHUILA DE ZARAGOZA,OCAMPO,-102.75,28.87,1013,CONTINENTAL
118085,MEXICO,TAMAULIPAS,SAN NICOLAS,-98.68,24.59,567,CONTINENTAL
17358,MEXICO,MEXICO,TEPOTZOTLAN,-99.24,19.75,2483,CONTINENTAL
139171,MEXICO,BAJA CALIFORNIA,ENSENADA,-115.36,30.11,424,CONTINENTAL
95521,MEXICO,QUERETARO,CADEREYTA DE MONTES,-99.82,20.76,2093,CONTINENTAL
13991,MEXICO,COAHUILA DE ZARAGOZA,RAMOS ARIZPE,-101.34,26.28,1156,CONTINENTAL
68233,MEXICO,COAHUILA DE ZARAGOZA,RAMOS ARIZPE,-101.02,25.54,1509,CONTINENTAL
56390,MEXICO,COAHUILA DE ZARAGOZA,SAN PEDRO,-102.86,26.55,1428,CONTINENTAL
81114,MEXICO,BAJA CALIFORNIA SUR,LORETO,-111.32,25.8,39,CONTINENTAL
80399,MEXICO,BAJA CALIFORNIA SUR,LA PAZ,-110.14,23.26,108,CONTINENTAL
129452,MEXICO,QUERETARO,QUERETARO,-100.4,20.71,2111,CONTINENTAL
79953,MEXICO,BAJA CALIFORNIA SUR,MULEGE,-112.56,27.41,503,CONTINENTAL
21282,MEXICO,SONORA,PITIQUITO,-112.4,29.37,321,CONTINENTAL
99486,MEXICO,PUEBLA,ZAPOTITLAN,-97.44,18.41,1739,CONTINENTAL
101618,MEXICO,PUEBLA,ZAPOTITLAN,-97.51,18.32,1502,CONTINENTAL
127993,MEXICO,TAMAULIPAS,SAN NICOLAS,-98.84,24.63,749,CONTINENTAL
55271,MEXICO,NUEVO LEON,DOCTOR ARROYO,-99.94,23.77,1678,CONTINENTAL
9863,MEXICO,GUANAJUATO,XICHU,-100.06,21.3,1354,CONTINENTAL
70844,MEXICO,COAHUILA DE ZARAGOZA,SALTILLO,-101,25.34,1989,CONTINENTAL
66893,MEXICO,COAHUILA DE ZARAGOZA,JIMENEZ,-100.9,28.83,324,CONTINENTAL
93886,MEXICO,BAJA CALIFORNIA SUR,LORETO,-111.59,26.08,709,CONTINENTAL
58123,MEXICO,COAHUILA DE ZARAGOZA,SALTILLO,-101.3,25.05,2023,CONTINENTAL
108860,MEXICO,QUERETARO,COLON,-100.18,20.77,2062,CONTINENTAL
129957,MEXICO,BAJA CALIFORNIA SUR,MULEGE,-112.61,27.48,1097,CONTINENTAL
25100,MEXICO,DURANGO,TLAHUALILO,-103.91,26.69,1108,CONTINENTAL
101038,MEXICO,QUERETARO,CADEREYTA DE MONTES,-99.73,20.84,2019,CONTINENTAL
44300,MEXICO,QUERETARO,SAN JOAQUIN,-99.68,20.94,1937,CONTINENTAL
18057,MEXICO,BAJA CALIFORNIA SUR,LOS CABOS,-109.61,23.54,127,CONTINENTAL
67503,MEXICO,NUEVO LEON,DOCTOR ARROYO,-100.33,23.59,1712,CONTINENTAL
126449,MEXICO,BAJA CALIFORNIA,ENSENADA,-115.12,29.6,313,CONTINENTAL
127493,MEXICO,BAJA CALIFORNIA,ENSENADA,-115.78,30.32,83,CONTINENTAL
99492,MEXICO,TAMAULIPAS,SAN NICOLAS,-98.69,24.56,745,CONTINENTAL
80567,MEXICO,BAJA CALIFORNIA SUR,MULEGE,-114.93,27.72,15,CONTINENTAL
28273,MEXICO,DURANGO,MAPIMI,-103.82,25.83,1282,CONTINENTAL
92933,MEXICO,COAHUILA DE ZARAGOZA,OCAMPO,-103.3,27.59,1236,CONTINENTAL
69098,MEXICO,ZACATECAS,CONCEPCION DEL ORO,-101.24,24.69,1665,CONTINENTAL
2350,MEXICO,0,0,-115.59,28.31,108,ISLA
54776,MEXICO,BAJA CALIFORNIA,MEXICALI,-115,31.08,279,CONTINENTAL
18673,MEXICO,SONORA,NAVOJOA,-109.3,26.77,127,CONTINENTAL
95411,MEXICO,HIDALGO,ZIMAPAN,-99.33,20.58,1613,CONTINENTAL
44227,MEXICO,BAJA CALIFORNIA,ENSENADA,-113.61,28.76,1336,CONTINENTAL
73301,MEXICO,ZACATECAS,MAZAPIL,-102.44,24.4,1755,CONTINENTAL
75990,MEXICO,QUERETARO,PINAL DE AMOLES,-99.6,21.03,1136,CONTINENTAL
81965,MEXICO,BAJA CALIFORNIA SUR,LORETO,-111.06,25.46,432,CONTINENTAL
33947,MEXICO,SAN LUIS POTOSI,VILLA HIDALGO,-100.74,22.41,1855,CONTINENTAL
118728,MEXICO,BAJA CALIFORNIA SUR,LA PAZ,-110.26,24.31,26,CONTINENTAL
43535,MEXICO,SAN LUIS POTOSI,RIOVERDE,-99.91,21.71,1290,CONTINENTAL
58041,MEXICO,CHIHUAHUA,CHIHUAHUA,-106.23,28.19,1496,CONTINENTAL
114535,MEXICO,SONORA,PUERTO PEÑASCO,-113.56,31.92,295,CONTINENTAL
45553,MEXICO,SONORA,CUCURPE,-110.56,30.43,1058,CONTINENTAL
122368,MEXICO,BAJA CALIFORNIA,ENSENADA,-116.29,31.33,274,CONTINENTAL
59352,MEXICO,MEXICO,OTUMBA,-98.72,19.68,2495,CONTINENTAL
34212,MEXICO,SONORA,BAVISPE,-108.96,30.59,1044,CONTINENTAL
65130,MEXICO,PUEBLA,CALTEPEC,-97.46,18.17,2332,CONTINENTAL
8503,MEXICO,SONORA,GUAYMAS,-111.06,27.96,56,CONTINENTAL
128149,MEXICO,COAHUILA DE ZARAGOZA,OCAMPO,-102,27.33,1302,CONTINENTAL
137413,MEXICO,DURANGO,CANATLAN,-104.52,24.47,2190,CONTINENTAL
37612,MEXICO,COAHUILA DE ZARAGOZA,SALTILLO,-100.96,25.38,1845,CONTINENTAL
39546,MEXICO,ZACATECAS,MAZAPIL,-102.18,24.13,1758,CONTINENTAL
120937,MEXICO,TAMAULIPAS,GÜEMEZ,-99.34,24,344,CONTINENTAL
89503,MEXICO,BAJA CALIFORNIA,ENSENADA,-115.91,30.79,203,CONTINENTAL
104125,MEXICO,COAHUILA DE ZARAGOZA,TORREON,-103.27,25.18,1969,CONTINENTAL
75208,MEXICO,COAHUILA DE ZARAGOZA,CASTAÑOS,-101.3,26.79,1377,CONTINENTAL
104445,MEXICO,0,0,-112.29,28.72,21,ISLA
69659,MEXICO,COAHUILA DE ZARAGOZA,OCAMPO,-103.55,27.97,1250,CONTINENTAL
109602,MEXICO,0,0,-110.69,25.03,18,ISLA
44204,MEXICO,BAJA CALIFORNIA,ENSENADA,-116.5,31.58,304,CONTINENTAL
25586,MEXICO,SAN LUIS POTOSI,CHARCAS,-101.17,23.31,2319,CONTINENTAL
