ID,Conversion_familia,Conversion_genero,Conversion_Tipo,Conversion_color
75206,Boraginaceae,Lithospermum,Árbol,Amarilla
83603,Cactaceae,Cylindropuntia,Arbusto,Amarilla
101128,Acanthaceae,Holographis,Árbol,Blanca
98807,Apocynaceae,Sarcostemma,Arbusto,Morada
97254,Apocynaceae,Mandevilla,Arbusto,Amarilla
85894,Cactaceae,Ferocactus,Arbusto,Roja
104018,Lamiaceae,Hedeoma,Árbol,Violeta
79781,Amaranthaceae,Atriplex,Arbusto,Verde
135030,Anacardiaceae,Toxicodendron,Arbusto,Blanca
7270,Commelinaceae,Tradescantia,Árbol,Rosa
135975,Simaroubaceae,Castela,Árbol,Magenta
84242,Cactaceae,Cylindropuntia,Arbusto,Café
128267,Ranunculaceae,Clematis,Árbol,Blanca
78475,Aizoaceae,Sesuvium,Árbol,Morada
93199,Nyctaginaceae,Mirabilis,Arbusto,Amarilla
114307,Euphorbiaceae,Euphorbia,Árbol,Blanca
78425,Aizoaceae,Sesuvium,Árbol,Blanco amarillenta
127229,Polygonaceae,Eriogonum,Arbusto,Blanca
83870,Cactaceae,Cylindropuntia,Arbusto,Amarilla
4422,Asparagaceae,Nolina,Árbol,Amarilla
107220,Oleaceae,Fraxinus,Árbol,Amarilla
102567,Acanthaceae,Ruellia,Árbol,Azul-purpúrea
5348,Bromeliaceae,Hechtia,Árbol,Amarillenta
79141,Amaranthaceae,Amaranthus,Árbol,Blanco amarillenta
122886,Onagraceae,Oenothera ,Arbusto,Amarilla
4129,Asparagaceae,Hesperaloe,Árbol,Amarillenta
77062,Brassicaceae,Lyrocarpa,Árbol,Roja
119162,Malvaceae,Gossypium,Arbusto,Amarilla
78385,Aizoaceae,Sesuvium,Árbol,Blanco amarillenta
10659,Orchidaceae,Laelia,Árbol,Morada
5134,Bromeliaceae,Hechtia,Árbol,Amarillenta
6700,Commelinaceae,Commelina,Árbol,Azul
119969,Malvaceae,Hibiscus,Arbusto,Roja
8990,Cyperaceae,Eleocharis,Árbol,Verdosa
45030,Araliaceae,Aralia,Arbusto,Blanca
3107,Asparagaceae,Agave,Árbol,Amarillenta
102562,Acanthaceae,Ruellia,Árbol,Azul-purpúrea
73586,Boraginaceae,Cryptantha,Árbol,Blanca
133767,Anacardiaceae,Pseudosmodingium,Árbol,Blanca
104510,Lamiaceae,Hyptis,Árbol,Violeta
122978,Onagraceae,Oenothera ,Árbol,Amarilla
11020,Hydrocharitaceae,Najas,Árbol,Verdosa
109986,Euphorbiaceae,Acalypha,Árbol,Amarillenta
128262,Ranunculaceae,Clematis,Árbol,Blanca
74918,Boraginaceae,Heliotropium,Árbol,Blanca
136883,Polemoniaceae,Linanthus,Arbusto,Blanca
