ID,PC 1,PC 2,PC 3,familia,genero,longitud,latitud,altitudmapa,class,Conversion_familia,Conversion_genero,Conversion_Tipo,Conversion_color
136827,-0.5873511489180340,0.8604217060288300,0.555430731518358,58,393,-104.93,29.55,901.0,2,Polemoniaceae,Ipomopsis,Arbusto,Blanca
138171,1.0376388476778200,1.74498479431044,1.244873287413100,84,447,-101.2,24.63,1672.0,2,Solanaceae,Lycium,Arbusto,Rosa
136385,-1.5634002061864200,2.8875152480463100,0.058177826807271900,90,754,-112.58,28.72,246.0,2,Zygophyllaceae,Viscainoa,Arbusto,Blanca
141434,0.7524519802077050,-1.4191608086054500,0.512426495285824,20,91,-99.44,23.58,910.0,1,Begoniaceae,Begonia,Árbol,Rosa
79086,0.9217386569852410,-1.9462018052028700,0.4158656984430640,5,32,-101.04,25.4,1725.0,1,Amaranthaceae,Amaranthus,Árbol,Verde
123456,-1.6096409469579800,1.2494873455315100,-0.2992180930330670,49,568,-116.18,32.36,1416.0,2,Papaveraceae,Platystemon,Arbusto,Anaranjadas
3522,2.8152811842522400,-1.2024011310569200,0.16975894225838400,15,223,-97.41,18.7,2400.0,1,Asparagaceae,Dasylirion,Árbol,Amarilla
109820,1.7450066896950400,-1.3387349446501900,1.2530108183761200,31,4,-99.68,21.07,1873.0,1,Euphorbiaceae,Acalypha,Árbol,Amarillenta
117267,-1.7762811044098700,0.9604724704356670,-0.36148978754104800,50,532,-112.48,28.98,39.0,2,Passifloraceae,Passiflora,Arbusto,Ausente
101023,-1.0558180567881800,-0.9716187892072560,-0.9795357628708790,1,361,-110.26,30.32,1007.0,0,Acanthaceae,Henrya,Árbol,Crema
116513,-0.6811943734929540,-0.04387843069498910,-0.3327836053008120,31,402,-111.58,26.12,883.0,0,Euphorbiaceae,Jatropha,Arbusto,Blanca
136750,-1.5968073037273100,0.9897475802680690,0.5432069278477590,58,393,-116.02,31.97,1458.0,2,Polemoniaceae,Ipomopsis,Árbol,Blanca
74796,0.6566932510184870,-0.40712510382062500,-0.20852786862981900,24,356,-102.4,25.15,1335.0,1,Boraginaceae,Heliotropium,Árbol,Blanca
4819,0.7155106431161260,0.4764846195305120,-1.9257364175449900,15,767,-98.77,24.53,548.0,1,Asparagaceae,Yucca,Árbol,Amarillenta
109883,0.8706251830069510,-1.2458965794298400,1.2227241752505800,31,4,-104.26,24.04,1874.0,1,Euphorbiaceae,Acalypha,Árbol,Amarillenta
443,-1.6332173209681000,-1.4908585035962300,-0.011896674907309300,13,115,-111.06,27.95,10.0,0,Arecaceae,Brahea,Árbol,Amarillenta
73574,-0.9931705061837040,-0.9482809128441810,0.002817903987088480,24,207,-111.09,24.71,205.0,0,Boraginaceae,Cryptantha,Árbol,Blanca
117102,-0.007505143106900980,0.8636987330084270,-0.22071233271566300,50,532,-99.31,26.01,142.0,2,Passifloraceae,Passiflora,Árbol,Anaranjadas
138996,-1.8274007322799900,1.9414732303426000,0.6629230354649420,84,510,-112.84,28.64,34.0,2,Solanaceae,Nicotiana,Árbol,Rosa
97184,-1.3097769889545500,-0.5611060746416370,-1.2752533780821300,9,465,-112.2,27.07,207.0,0,Apocynaceae,Mandevilla,Arbusto,Amarilla
81057,-0.9460059199726140,-1.7292478771214100,-0.35245768021630600,5,150,-110.95,24.27,155.0,0,Amaranthaceae,Celosia,Arbusto,Blanca
