ID,division,clase,orden,familia,genero,tipo,color,colector,numerocatalogo,numerocolecta,siglascoleccion
124479,Magnoliophyta,Magnoliopsida,Plantaginales,54,490,Arbusto,5,NO DISPONIBLE,dbsn286778,NO DISPONIBLE,ARIZ
95305,Magnoliophyta,Magnoliopsida,Gentianales,9,71,Sufrútice,7,P. Balderas,NO APLICA,517,QMEX
74813,Magnoliophyta,Magnoliopsida,Boraginales,24,356,Hierba ,7,NO DISPONIBLE,97850,NO DISPONIBLE,GH
120762,Magnoliophyta,Magnoliopsida,Malvales,39,653,Hierba ,7,"Chiang Cabrera, Fernando",NO DISPONIBLE,F-2075,MEXU
90931,Magnoliophyta,Magnoliopsida,Caryophyllales,27,524,Árbol,7,NO DISPONIBLE,dbsn49291,NO DISPONIBLE,ARIZ
82447,Magnoliophyta,Magnoliopsida,Caryophyllales,5,394,Arbusto,7,G. Asteinza B.,9722,400a,CHAP
133569,Magnoliophyta,Magnoliopsida,Sapindales,7,525,Árbol,10,P.J. Rempel,NO DISPONIBLE,273,ARIZ
4034,Magnoliophyta,Liliopsida,Asparagales,15,255,Hierba ,2,J. RZEDOWSKI R.,NO DISPONIBLE,16957,ENCB
79263,Magnoliophyta,Magnoliopsida,Caryophyllales,5,32,Hierba ,18,R.S. Felger,NO DISPONIBLE,9573,ARIZ
111317,Magnoliophyta,Magnoliopsida,Malpighiales,31,205,Hierba ,7,F. Chiang C.; T. L. Wendt; M. C. Johnston,93103,8399,LL
126739,Magnoliophyta,Magnoliopsida,Polygonales,60,280,Arbusto,7,R.F. Thorne,NO DISPONIBLE,63112,ENCB
8228,Magnoliophyta,Liliopsida,Cyperales,29,215,Hierba ,2,NO DISPONIBLE,759245,NO DISPONIBLE,MEXU
78111,Magnoliophyta,Magnoliopsida,Caryophyllales,2,546,Arbusto,8,A.L. Reina G.; T.R. Van Devender; R.W. Van Devender; S. Minter; J.A. Saavedra M.,14045,2009-313,USON
101113,Magnoliophyta,Magnoliopsida,Lamiales,1,378,Hierba ,7,C. Romero de T. J. M.; P. Tenorio L.,550797,6841Bis,MEXU
96281,Magnoliophyta,Magnoliopsida,Gentianales,9,71,Sufrútice,7,S. D. Koch,169323,NO DISPONIBLE,MEXU
108905,Magnoliophyta,Magnoliopsida,Lamiales,80,267,Arbusto,13,J. S. Henrickson; L. Woodruff,251051,20423,TEX
9685,Magnoliophyta,Liliopsida,Cyperales,35,405,Hierba ,9,S. Boyd,4814,2543,BCMEX
117749,Magnoliophyta,Magnoliopsida,Malpighiales,74,505,Arbusto,12,MAyala; MCCastillo; KGutiérrez; OTéllez; IRosas,102130,631,FCME
102630,Magnoliophyta,Magnoliopsida,Lamiales,1,616,Arbusto,7,A. M. Carter; H. Sharsmith,88847,4259,TEX
89015,Magnoliophyta,Magnoliopsida,Caryophyllales,27,519,Arbusto,1,J. Rebman; M. E. Reséndiz,11128,5368,BCMEX
86200,Magnoliophyta,Magnoliopsida,Caryophyllales,27,332,Arbusto,1,R. T. Bárcenas,NO APLICA,1690,QMEX
75140,Magnoliophyta,Magnoliopsida,Boraginales,24,438,Hierba ,7,JCH,NO DISPONIBLE,24376,GBH
140210,Magnoliophyta,Magnoliopsida,Solanales,84,661,Hierba ,18,E. Ventura V.; E. López,114069,6568,IEB
83168,Magnoliophyta,Magnoliopsida,Caryophyllales,27,186,Arbusto,16,W. R. Taylor,438461,6175,RSA
4127,Magnoliophyta,Liliopsida,Asparagales,15,363,Hierba ,2,GSH,NO DISPONIBLE,24263,GBH
118763,Magnoliophyta,Magnoliopsida,Malvales,39,28,Sufrútice,7,P. Tenorio L.,8020,17687,HUAP
125483,Magnoliophyta,Magnoliopsida,Polygalales,59,493,Arbusto,7,R. M. Stewart; I. M. Johnston,233808,2130,LL
111172,Magnoliophyta,Magnoliopsida,Malpighiales,31,205,arbusto,7,"Valiente Banuet, Alfonso",NO DISPONIBLE,153,MEXU
135977,Magnoliophyta,Magnoliopsida,Sapindales,82,145,Hierba ,14,OTéllez,105484,624,FCME
7124,Magnoliophyta,Liliopsida,Commelinales,28,723,Hierba ,17,J. Ceja; et al.,124600,577,IEB
138726,Magnoliophyta,Magnoliopsida,Solanales,84,510,Hierba ,17,NO DISPONIBLE,dbsn210998,NO DISPONIBLE,ARIZ
112312,Magnoliophyta,Magnoliopsida,Malpighiales,31,293,Hierba ,7,IRosas; OTéllez; MAyala; MCCastillo,NO DISPONIBLE,462,FCME
124622,Magnoliophyta,Magnoliopsida,Plantaginales,54,538,Hierba ,6,R. Moran,32762,20940,SD
83588,Magnoliophyta,Magnoliopsida,Caryophyllales,27,211,Arbusto,1,M. C. Johnston; T. L. Wendt; F. Chiang C.,271094,10340-E,LL
