ID,PC 1,PC 2,PC 3,familia,genero,longitud,latitud,altitudmapa,class,Conversion_familia,Conversion_genero,Conversion_Tipo,Conversion_color
31917,1.7401624820757868,1.0442299522230711,0.3959082736478358,57,496,-99.69,23.28,2078.0,1,Poaceae,Muhlenbergia,Árbol,Amarilla
13258,-1.1108924310966013,-0.09997988188715336,1.6368904560523814,57,64,-109.66,30.79,1248.0,2,Poaceae,Aristida,Árbol,Hialino
17746,-1.1694311248278946,-0.17315829328453577,1.2836699655661874,57,110,-111.35,25.8,348.0,2,Poaceae,Bouteloua,Árbol,Hialino
34647,1.9292868207501759,1.0566675234381337,0.4088663418063625,57,500,-102.12,22.21,2437.0,1,Poaceae,Nassella,Árbol,Hialino
95121,-1.5373807038728804,-1.7344212023247452,0.049208766669842384,9,71,-111.07,28.01,173.0,0,Apocynaceae,Asclepias,Árbol,Blanca
121771,-1.3774726845141398,1.267523073148938,-1.4081368033709734,39,756,-111.06,27.98,40.0,2,Malvaceae,Waltheria,Árbol,Amarilla
37881,0.7699539548999446,1.5135004256919793,-0.23983949759692702,57,648,-100.76,25.65,1274.0,2,Poaceae,Setaria,Árbol,Hialino
135248,2.0115450216064237,0.6302431297585869,2.0547322853715237,73,171,-100.88,23.6,2902.0,1,Rutaceae,Choisya,Árbol,Café
131800,2.6603842043368275,0.49348804371085575,1.820618437115052,72,203,-97.6,18.42,2291.0,1,Rubiaceae,Coutaportla,Arbusto,Blanca
93225,0.8711207045793763,0.5532760170155626,-0.1053955169090044,42,486,-100.25,25.39,1358.0,1,Nyctaginaceae,Mirabilis,Arbusto,Amarilla
86053,-0.9901352054183564,-0.5340992934216396,-0.1735984081061904,27,297,-111.61,25.71,433.0,0,Cactaceae,Ferocactus,Arbusto,Amarilla
94527,-1.5554739675353702,-1.7472210353730744,0.036248795421226984,9,71,-112.84,27.31,238.0,0,Apocynaceae,Asclepias,Arbusto,Morada
106766,1.7726623224665912,1.007798657678056,-0.9065064338618092,36,703,-101.91,22.66,2118.0,1,Lamiaceae,Teucrium,Árbol,Blanca
131170,-2.4941550943291233,1.9416659821874735,-0.07143347896222836,71,615,-116.47,31.36,54.0,2,Rosaceae,Rosa,Arbusto,Blanca
113343,-1.5643751376799535,-0.40735713458818146,-0.10927969521861393,31,293,-112.09,27.26,32.0,0,Euphorbiaceae,Euphorbia,Árbol,Verde
86454,-0.4844029081122106,-0.13213077303608292,-0.6329867634558384,27,442,-109.87,24.25,517.0,0,Cactaceae,Lophocereus,Árbol,Blanca
112766,-1.1326895830353993,-0.43794247386234836,-0.07979680796381569,31,293,-111.58,25.68,238.0,0,Euphorbiaceae,Euphorbia,Árbol,Blanca
1031,-2.057224119024723,-1.1774833668348634,-0.4969192636753063,6,231,-116.21,31.76,791.0,0,Amaryllidaceae,Dichelostemma,Árbol,Violeta
88099,1.3096902799232617,0.12294348846875869,-0.6422655290121819,27,519,-100.17,23.03,1419.0,1,Cactaceae,Opuntia,Arbusto,Amarilla
33768,-0.23397005327909115,1.1615637282712548,0.24256928708924513,57,496,-105.32,29.15,1293.0,2,Poaceae,Muhlenbergia,Árbol,Amarilla
20201,-1.8023062397607887,0.013315142979592902,1.11157711006708,57,152,-113.62,28.08,213.0,2,Poaceae,Cenchrus,Árbol,Hialino
111076,-1.089387256652704,-0.6863378968031035,0.24078486622296094,31,205,-111.48,25.93,388.0,0,Euphorbiaceae,Croton,Árbol,Blanca
33140,2.9122053598786724,0.970698876071988,0.4839459485140821,57,496,-97.27,19.47,2599.0,1,Poaceae,Muhlenbergia,Árbol,Hialino
76496,-1.634700560221925,-0.7571706290791373,-0.12898171494516675,25,243,-113.58,26.76,46.0,0,Brassicaceae,Dithyrea,Árbol,Blanca
28814,-1.0920440507342786,0.6662579235894992,0.2500327252320421,57,404,-110.63,24.92,5.0,2,Poaceae,Jouvea,Árbol,Hialino
42108,1.4031162548310323,1.838612516287344,-0.4018003582115602,57,736,-101.76,25.26,2144.0,1,Poaceae,Triticum,Árbol,Blanca
120271,-2.0146749032284923,0.2770396656422645,-0.3559834269298865,39,425,-115.59,28.31,23.0,0,Malvaceae,Lavatera,Árbol,Blanca
74425,0.47714638511248203,-0.5047505274739904,-0.3213852439730533,24,356,-98.98,24.29,465.0,1,Boraginaceae,Heliotropium,Árbol,Blanca
4985,1.1163837475995384,-1.4781437314294552,0.6165728857224193,16,73,-101.61,24.82,1949.0,1,Asphodelaceae,Asphodelus,Árbol,Amarillenta
135497,0.296945536729205,1.0151255681430484,1.060592747851704,73,353,-99.52,24.5,439.0,2,Rutaceae,Helietta,Árbol,Lavanda
75416,1.5772453423832857,0.274006235589569,-0.9429344536574236,24,596,-101.05,22.49,1740.0,1,Boraginaceae,Psilolaemus,Árbol,Blanca
127129,-1.0249895109735288,0.5853527757551068,0.946551542549956,60,280,-113.43,28.4,1252.0,2,Polygonaceae,Eriogonum,Árbol,Blanca
136113,0.31044612535035543,0.6693611411247573,2.027278816483153,82,145,-98.78,24.54,513.0,2,Simaroubaceae,Castela,Árbol,Anaranjadas
31322,0.19355984316883532,1.1141115404104915,0.2556557112610133,57,496,-103.32,27.59,1302.0,2,Poaceae,Muhlenbergia,Árbol,Amarilla
37855,0.7637254808283488,1.543886545146417,-0.21309367811140753,57,648,-101.5,26.15,1464.0,2,Poaceae,Setaria,Árbol,Hialino
128967,1.3098794485586813,0.34854554842056423,1.6031547337731324,69,188,-99.63,20.98,1222.0,1,Rhamnaceae,Colubrina,Árbol,Blanca
111064,-1.5616122547857358,-0.6236145016730842,0.2352725189030895,31,205,-113.12,28.03,380.0,0,Euphorbiaceae,Croton,Árbol,Blanca
10516,2.8651381245221867,-0.20450577435330525,0.9522475868928972,46,245,-97.48,17.73,2335.0,1,Orchidaceae,Domingoa,Árbol,Amarilla
